wmproductId,MÃ NỘI BỘ,product name,"LOẠI 
SIM","GIÁ 
PEE"
WM-e-SM-1GB-18D,WM-e-SM-1GB-18D+1,"Singapore, Malaysia, 18 Days, 1GB /day, 128kbps",ESIM,337000
WM-e-SM-2GB-18D,WM-e-SM-2GB-18D+1,"Singapore, Malaysia, 18 Days, 2GB /day, 128kbps",ESIM,570000
WM-e-SM-3GB-18D,WM-e-SM-3GB-18D+1,"Singapore, Malaysia, 18 Days, 3GB /day, 128kbps",ESIM,770000
WM-e-SM-MAX-18D,WM-e-SM-MAX-18D+1,"Singapore, Malaysia, 18 Days, Unlimited data /day",ESIM,1119000
WM-e-SM-10MAX-18D,WM-e-SM-10MAX-18D+1,"Singapore, Malaysia, 18 Days, Premium unlimited data/day",ESIM,1270000
WM-e-SM-500MB-19D,WM-e-SM-500MB-19D+1,"Singapore, Malaysia, 19 Days, 500MB /day, 128kbps",ESIM,269000
WM-e-SM-1GB-19D,WM-e-SM-1GB-19D+1,"Singapore, Malaysia, 19 Days, 1GB /day, 128kbps",ESIM,345000
WM-e-SM-2GB-19D,WM-e-SM-2GB-19D+1,"Singapore, Malaysia, 19 Days, 2GB /day, 128kbps",ESIM,587000
WM-e-SM-3GB-19D,WM-e-SM-3GB-19D+1,"Singapore, Malaysia, 19 Days, 3GB /day, 128kbps",ESIM,787000
WM-e-SM-MAX-19D,WM-e-SM-MAX-19D+1,"Singapore, Malaysia, 19 Days, Unlimited data /day",ESIM,1136000
WM-e-SM-10MAX-19D,WM-e-SM-10MAX-19D+1,"Singapore, Malaysia, 19 Days, Premium unlimited data/day",ESIM,1287000
WM-e-SM-500MB-20D,WM-e-SM-500MB-20D+1,"Singapore, Malaysia, 20 Days, 500MB /day, 128kbps",ESIM,275000
WM-e-SM-1GB-20D,WM-e-SM-1GB-20D+1,"Singapore, Malaysia, 20 Days, 1GB /day, 128kbps",ESIM,355000
WM-e-SM-2GB-20D,WM-e-SM-2GB-20D+1,"Singapore, Malaysia, 20 Days, 2GB /day, 128kbps",ESIM,604000
WM-e-SM-3GB-20D,WM-e-SM-3GB-20D+1,"Singapore, Malaysia, 20 Days, 3GB /day, 128kbps",ESIM,804000
WM-e-SM-MAX-20D,WM-e-SM-MAX-20D+1,"Singapore, Malaysia, 20 Days, Unlimited data /day",ESIM,1152000
WM-e-SM-10MAX-20D,WM-e-SM-10MAX-20D+1,"Singapore, Malaysia, 20 Days, Premium unlimited data/day",ESIM,1303000
WM-e-SM-500MB-21D,WM-e-SM-500MB-21D+1,"Singapore, Malaysia, 21 Days, 500MB /day, 128kbps",ESIM,317000
WM-e-SM-1GB-21D,WM-e-SM-1GB-21D+1,"Singapore, Malaysia, 21 Days, 1GB /day, 128kbps",ESIM,428000
WM-e-SM-2GB-21D,WM-e-SM-2GB-21D+1,"Singapore, Malaysia, 21 Days, 2GB /day, 128kbps",ESIM,731000
WM-e-SM-3GB-21D,WM-e-SM-3GB-21D+1,"Singapore, Malaysia, 21 Days, 3GB /day, 128kbps",ESIM,1031000
WM-e-SM-MAX-21D,WM-e-SM-MAX-21D+1,"Singapore, Malaysia, 21 Days, Unlimited data /day",ESIM,1552000
WM-e-SM-10MAX-21D,WM-e-SM-10MAX-21D+1,"Singapore, Malaysia, 21 Days, Premium unlimited data/day",ESIM,1630000
WM-e-SM-500MB-22D,WM-e-SM-500MB-22D+1,"Singapore, Malaysia, 22 Days, 500MB /day, 128kbps",ESIM,325000
WM-e-SM-1GB-22D,WM-e-SM-1GB-22D+1,"Singapore, Malaysia, 22 Days, 1GB /day, 128kbps",ESIM,438000
WM-e-SM-2GB-22D,WM-e-SM-2GB-22D+1,"Singapore, Malaysia, 22 Days, 2GB /day, 128kbps",ESIM,749000
WM-e-SM-3GB-22D,WM-e-SM-3GB-22D+1,"Singapore, Malaysia, 22 Days, 3GB /day, 128kbps",ESIM,1048000
WM-e-SM-MAX-22D,WM-e-SM-MAX-22D+1,"Singapore, Malaysia, 22 Days, Unlimited data /day",ESIM,1568000
WM-e-SM-10MAX-22D,WM-e-SM-10MAX-22D+1,"Singapore, Malaysia, 22 Days, Premium unlimited data/day",ESIM,1663000
WM-e-SM-500MB-23D,WM-e-SM-500MB-23D+1,"Singapore, Malaysia, 23 Days, 500MB /day, 128kbps",ESIM,334000
WM-e-SM-1GB-23D,WM-e-SM-1GB-23D+1,"Singapore, Malaysia, 23 Days, 1GB /day, 128kbps",ESIM,446000
